msno,song_id,source_system_tab,source_screen_name,source_type,target,song_length,genre_ids,artist_name,composer,lyricist,language,city,bd,gender,registered_via,expiration_date,membership_days,registration_year,registration_month,registration_date,expiration_year,expiration_month,song_year,lyricists_count,composer_count,is_featured,artist_count,artist_composer,artist_composer_lyricist,song_lang_boolean,smaller_song,count_song_played,count_artist_played
fOBl3Y85en1YGX0FyxiMcMVfWfDis/56vftSSa/WyPI=,7QkR0/mb+2Gyf8Cbz/wl3cfniJok6XDxUfm6qZeIXmg=,my library,Local playlist more,local-library,0,290807,864|850|857|2122|843,Riyoko feat. Silent Jazz Case (リヨコ フィーチャリング サイレントジャズケース),no_composer,no_lyricist,-1.0,4,25,male,9,13,2589,2010,9,11,2017,10,0.0,0,0,1,1,0,0,0,0,20,224
AHE7eoJrG3aFE6e8kjv2KGEt5FdX7E+5QO93V26dOGY=,IKMFuL0f5Y8c63Hg9BXkeNJjE0z8yf3gMt/tOxF4QNE=,discover,Discover Feature,online-playlist,0,244976,1609,The Chainsmokers,Andrew Taggart| Shaun Frank| Frederic Kennett| Ashley Frangipane| Isaac Slade| Joseph King,Andrew Taggart| Shaun Frank| Frederic Kennett| Ashley Frangipane| Isaac Slade| Joseph King,52.0,1,0,nan,4,2,3,2016,12,30,2017,1,2016.0,6,6,0,0,0,0,0,1,9844,44215
jCfbOgwHFC5qy58FaOBTJf76ddukN9cubIqSJhhML6A=,+0/sXxDmV1SyaPkif5hTCJtnpqgmRFHGxeZiYz3IsHA=,my library,Local playlist more,local-playlist,1,250984,726,快樂寶寶古典樂,no_composer,no_lyricist,-1.0,1,0,nan,7,1,486,2016,6,2,2017,10,0.0,0,0,0,0,0,0,0,0,5,198
uxxwWYyRv6uOOP6tKRj6J2z1Dg+ETd1CNr3dX/+sMTo=,e+kUAz+KkdCM44jj/6JBS3ZClPy/vJcxwTSqth2PSmM=,my library,Album more,album,0,202213,465,WINNER,남태현 (NAM TAE HYUN)  |  AiRPLAY,남태현 (NAM TAE HYUN) |  송민호 (SONG MIN HO),31.0,1,0,nan,7,25,1609,2013,4,30,2017,9,2014.0,2,2,0,0,0,0,0,1,62,1795
NeYMMLV87VzYR94NvVA5W0AVquV8+orPTuK1N4aplSg=,UKnTZCflZ160HmSG3lU1D+1NX71tESJWkAvc290nhgk=,discover,Online playlist more,online-playlist,0,257277,921,Various Artists,Justin Hurwitz,no_lyricist,52.0,14,35,male,3,9,597,2016,1,21,2017,9,2016.0,0,1,0,0,0,0,0,0,696,303616
dopHgoJn+2JBt+ZEteRonSUL15/jSpqOQqyGKbLKl/Q=,NucOoEt8jzO/XS9B/B6aM/WC31lzSCAIip5VpdCBt+c=,my library,Local playlist more,local-library,0,233848,465,黑Girl (hei Girl),徐婕兒,徐婕兒/王雅君,3.0,12,24,female,7,21,2073,2012,1,18,2017,9,2006.0,2,1,0,0,0,0,0,1,389,1214
HjHmWMnFnpfqBryvyvuZZG+JoytOe6p5v9pHURoWC10=,0CzowusgsNWTBlZvCHzE/EQNt9tEjMesIojOueWstEs=,radio,Radio,radio,0,292416,nan,《小時代》電影音樂 Tiny Times OST,梁永泰、王知音,梁永泰,52.0,22,31,male,3,12,1635,2013,3,22,2017,9,2013.0,1,1,0,0,0,0,0,0,27,371
uB2Avnh7BmO75CS48f9oh2Olg5RKOSy+BxumNmzzM4k=,oDG5WCyUlb9i/Sr34Fljeh0YsONZKxl+7jjUw27vm5U=,discover,Online playlist more,song-based-playlist,0,267598,465,田馥甄 (Hebe),張簡君偉,徐世珍/吳輝福,3.0,6,24,male,3,9,595,2016,2,22,2017,10,2013.0,2,1,0,0,0,0,0,0,3347,104946
7l7EIiyC92QhG8hE/rWXJin6ICYRL2/hnqzAHcVBGz8=,7apBsa2wWRfd+4K0dpxcZ4jxJ0d3YjG/7GtlI91x0EI=,discover,Online playlist more,online-playlist,0,141363,921,Various Artists,Opetaia Foa'i| Lin-Manuel Miranda,no_lyricist,52.0,15,26,male,9,17,3867,2007,3,17,2017,10,2016.0,0,2,0,0,0,0,0,1,97,303616
UROPCWPBi4fkbf7B+U4/kD/RDTRw1YzcXb4mPlNoZKM=,zHqZ07gn+YvF36FWzv9+y8KiCMhYhdAUS+vSIKY3UZY=,my library,Local playlist more,local-playlist,1,189361,1616|1609,Alan Walker,Alan Walker| Jesper Borgen| Anders Froen| Gunnar Greve| Tommy La Verdi| Magnus Bertelsen| Iselin Solheim,Alan Walker| Jesper Borgen| Anders Froen| Gunnar Greve| Tommy La Verdi| Magnus Bertelsen| Iselin Solheim,52.0,13,18,male,9,27,2050,2011,9,16,2017,4,2016.0,7,7,0,0,0,0,0,1,7522,36781
woffK5EuJ9dlYn5sRiT8zRyw4M+qtjH74/e5AOHNppI=,oCXrwQzJziyfK+iiO6b7VHtsj0mbdKRyoHEAvNMUof0=,search,Album more,album,0,276735,465,跨世紀金曲精選,no_composer,no_lyricist,3.0,13,32,female,4,19,186,2016,9,14,2017,3,1999.0,0,0,0,0,0,0,0,0,6,218
UhqjLSMwLYzjZFDyYQF6A33phr0tPNXyu7+I08q/u8g=,tZoCJCrqgur4rOervWLwQnazkhl/RSZpxi3UsEU6S9c=,my library,nan,local-library,0,255443,465,Baek Z Young,no_composer,no_lyricist,31.0,1,0,nan,7,8,2215,2011,8,16,2017,9,2012.0,0,0,0,0,0,0,0,0,147,938
eHHhcxyJIVVye3kxjFZXY5X30wrkeDMpYX/5RrYMXSI=,ExGzmNdPKomWhQ51R92WrSusjna1W6y5955M9p3izTI=,my library,Local playlist more,local-library,0,228832,465,畢書盡 (Bii),陳彥允,陳彥允,3.0,22,42,female,9,12,1926,2012,6,4,2017,9,2014.0,1,1,0,0,0,0,0,1,797,25028
ygxve3R6mx53/xFrz7ZBUAW1h52qtlV9bXG9Y4pF49w=,o9HWMBZMeIPnYEpSuscGoORKE44sj3BYOdvGuIi0P68=,discover,Local playlist more,local-library,1,309394,458,Eric 周興哲,Eric周興哲,王仲宇/Eric周興哲,3.0,1,0,nan,7,12,925,2015,1,30,2017,8,2017.0,2,1,0,0,0,0,0,0,7390,49426
BlQPu9aw76E8GnQKZIbE/wuO5jawwjGV/xrBX9YF5FE=,+SstqMwhQPBQFTPBhLKPT642IiBDXzZFwlzsLl4cGXo=,my library,Local playlist more,local-library,0,283846,465,陳勢安 (Andrew Tan),覃嘉健,馬嵩惟,3.0,1,0,nan,7,8,335,2016,10,8,2017,9,2016.0,1,1,0,0,0,0,0,0,9908,30870
aNcRiLDtfcW46d/LMVv9pGPXl4bGUL1gQMNMOZrkgXQ=,U/nRdkBhDNnvTa6tDK23q4mLM+87TXhktwNyqYIJctE=,my library,Local playlist more,local-library,0,230086,465,BIGBANG,no_composer,no_lyricist,31.0,1,0,nan,7,11,2223,2011,8,11,2017,9,2012.0,0,0,0,0,0,0,0,1,828,61927
UMUBRbgGDzwhLuT8o9wS2BV0fZ8Yp8A5aG9lni+Y4IY=,w0/+8z/tSrUK3JctMyhYTh2LfNl9OFga+Tw0yl0IVfc=,explore,Explore,online-playlist,0,194977,458,八三夭 (The Last Day of Summer 831),八三夭 阿璞,八三夭 阿璞,3.0,22,33,female,9,10,4368,2005,9,25,2017,9,2016.0,1,1,0,0,0,0,0,1,4837,41633
+cFdd0JqxptdZCpq91hFJMyeUxgyd9E6Q0HOcHTz+Fo=,hXETmZ7Tw/EvrbX1PuE5O+8vope7j7pGWntFv/+vZ0k=,discover,Album more,album,0,262246,465,羅大佑,no_composer,no_lyricist,3.0,1,0,nan,13,16,334,2016,10,17,2017,9,0.0,0,0,0,0,0,0,0,0,3,1826
KmAJtsNcrofH6qMoHvET89mQAlC1EN3r3r3rkfW2iT4=,vFqdIOMZArcrRDXmvVRxEkAApbpcOrA2ngotwk5I05I=,my library,Local playlist more,local-playlist,1,208375,465,孫燕姿 (Yanzi Sun),Lin Yi Feng,Yi Jia Yang,3.0,13,28,male,9,7,339,2016,11,2,2017,10,2003.0,1,1,0,0,0,0,0,1,1547,31708
o1ftSzx04wGTbaRqrM8g4vpMN4FVTmDviZ2dhhoSRKk=,uwGAfDt1trs7aTxUM5DPYRtalQY/IPszFbRPgayilDQ=,my library,Local playlist more,local-library,0,263941,458,楊丞琳 (Rainie Yang),Xiao-Leng,Ai-Li-Si,3.0,13,36,female,9,10,2104,2011,12,7,2017,9,2005.0,1,1,0,0,0,0,0,0,866,46006
r0WaUrCbDhMKpdfWX55rr1lu26Q4yKyV9u8iyENuYBA=,bktn6KYfgcM5ZUYTMGaAxKmzC7GcDA8Qx4ePU1V/gUs=,my library,Local playlist more,local-library,0,181054,1609,Various Artists,no_composer,no_lyricist,52.0,5,26,male,7,4,2228,2011,8,29,2017,10,2016.0,0,0,0,0,0,0,0,1,189,303616
G/4rupY7SfsOyqYaevw5rHwXkXd7MZ1beqcIuP3R5dA=,VkILU0H1h3NMmk9MQrXouNudGk5n8Ls5cqRRuBxeTh4=,my library,Local playlist more,local-library,1,229982,465,BIGBANG TAEYANG,TEDDY| DEE.P| Rebecca Johnson,TEDDY| TAEYANG,31.0,1,0,nan,7,9,914,2015,3,10,2017,9,2014.0,2,3,0,0,0,0,0,1,3869,8188
L9nEJXoefDodDjAgR3+71rI+2J2mxW1SWH/TZBbhFFc=,G21dv1ZiXpa7iO6UrKktIgqRdrvx7nLjRbRHGmtzGvQ=,explore,Online playlist more,online-playlist,0,281573,465,Ed Sheeran,no_composer,no_lyricist,52.0,1,0,nan,7,10,1017,2014,11,28,2017,9,2014.0,0,0,0,0,0,0,0,0,3520,25680
uIOaLDRrRajbWcryYGEn+0edxoyo9xVoYrYRKab7Y7M=,nnGh305rOmte1K/4D+qsL1LyY6P+jvDlzATIqwbCa/0=,my library,Local playlist more,local-library,1,233221,465,田馥甄 (Hebe),劉大江,林夕,3.0,1,0,nan,7,11,822,2015,6,12,2017,9,2013.0,1,1,0,0,0,0,0,1,4155,104946
64SujP/ERlBMDCGf/WbJDywPy+VNNzMXoThgWH6DNBc=,7rCsrg5Hiyvu5v0BT90FUTo44+9JnqRgYTDwtGr9680=,discover,Online playlist more,song-based-playlist,1,286093,465,莫文蔚 (Karen Mok),張洪量,姚謙(台語歌詞：張洪量),3.0,6,31,female,9,18,4160,2006,4,29,2017,9,1998.0,1,1,0,0,0,0,0,0,12,14582
9w7PPgGoV//eV4YgZesT3JbxB4y0fs728FY77+9Wjn0=,YCpD8vc+xN/ACsUZbT2NSglOjQKm3W82jVIUV8nFizE=,my library,Search,radio,0,238968,139,Chris Brown,David Johnson; Chris Brown; Warren Felder; Robert Calloway; Andrea Simms; Andrew Wansel; Ronald Colson,no_lyricist,52.0,3,51,male,9,30,3991,2006,2,26,2017,1,2012.0,0,7,0,0,0,0,0,1,19,3937
bc/Yj1AmgqP46qGYcnZ58ZSAjCkLIo+r2O5IRPF2wL8=,piWSGPfe68oDN25fGQIWAr73eSt4Ew3xSKnanOHBZ9s=,my library,Search,online-playlist,0,280111,465,張雨生 (Tom Chang),Chen Da-Li| Chen Xiu Nan,Chen Da-Li,3.0,4,21,male,9,4,1538,2013,7,19,2017,10,1992.0,1,2,0,0,0,0,0,0,777,4388
+AuBsDjMPVwlFIvrc3SmXXigYUTNVr0vAAqn5wO6JQc=,9KpbSXj7GneDeN8Yp/Xj95fzGHf2svBRSJZJQLT8ve0=,my library,My library,local-library,1,238968,458,周杰倫 (Jay Chou),周杰倫,徐若瑄,3.0,1,0,nan,9,13,1600,2013,2,24,2017,7,2000.0,1,1,0,0,0,0,0,1,1901,186776
bSAi+nXENksra0yzrhhrbo8Wl36rF0jhEpAING63aXw=,ZJjOYzpy3tSpUl5VwP2mHmBg4XIziHmQl2Yk66yqo9E=,my library,Local playlist more,local-library,1,295053,465,李榮浩,Li Rong Hao,Li Rong Hao,3.0,13,29,male,7,3,2478,2010,12,21,2017,10,2014.0,1,1,0,0,0,0,0,0,365,34631
frZtrrN1Y2ZqZX3VFiq7FpAvLth3kZJNovT9cmyn2O4=,vSdM6LZCFclerFHXPav5sX6zLEZrY0dxkOeAM8Rw3wI=,discover,Online playlist more,online-playlist,1,266971,465,莊心妍,潘攀,潘攀,3.0,22,31,male,3,13,809,2015,6,27,2017,9,0.0,1,1,0,0,0,0,0,0,1773,33035
C089V/59KrukP23vUW83GmPbGFgGckl6+eIrHAGSrTk=,J0NLfxuovg87Arr48vFDw/k0QxcAgfVPvoOf1AtM7hQ=,discover,Album more,album,1,222014,921,Sia,Greg Kurstin| Sia Furler,Greg Kurstin| Sia Furler,52.0,1,0,nan,3,2,1403,2013,11,29,2017,10,2016.0,2,2,0,0,0,0,0,1,310,20617
VWFXZYmYxm1iTsYv5AbpwhA3vRF8g9GhpsAAhyM/KZM=,rFLawM8j/vW78o/S3P2GTsmy6HwkTI15P7NF/i9CkX4=,discover,Local playlist more,local-playlist,1,237505,465|458,林芯儀 (Shennio Lin),吳姝霆,張鵬鵬,3.0,22,19,male,3,4,1901,2012,7,21,2017,10,2016.0,1,1,0,0,0,0,0,1,4775,12727
HY2SMydavaRT/3W79/xW6Ca8ISy/vaBbauZlAjLwtQw=,5v+sxv6eYIWj6VcjfgWSsIUXilxOHiMmtU+hSVogHQY=,discover,Online playlist more,online-playlist,1,235636,139,The Weeknd,Ali Payami| Max Martin| Abel Tesfaye| Ahmad Balshe| Savan Kotecha| Peter Svensson,no_lyricist,52.0,14,19,male,9,30,2710,2010,4,30,2017,9,2015.0,0,6,0,0,0,0,0,1,384,17094
f0ftvJnZG6sQ+AsOkKQwSWlEXx//14TwX1Uu0nLVE/8=,vYgdg3j2g8cztFopB8f2FL/tm88UCKQn5FpNCXO3o/k=,explore,Explore,song,1,244992,1609|458,原子邦妮 (Astro Bunny),查查\Nu,查查,3.0,22,22,female,9,23,2352,2011,2,13,2017,7,2016.0,1,2,0,0,0,0,0,1,1477,3851
bX56K2hwfwh6pXaWilyyCgITw53TwXcaPWFKi6ColzE=,tmOZajYxRrQa1mPTxFPMebBPkv0kTTU49FSsEADqKWQ=,discover,Online playlist more,online-playlist,0,205975,921,Various Artists,Charlie Fink| Sozo Savant,no_lyricist,52.0,10,0,nan,7,13,875,2015,1,20,2017,6,2016.0,0,2,0,0,0,0,0,1,720,303616
DDzabEoBFr2zyr208GqXzsHkfO9/wzK7gCCimk7Wa2g=,jFeSPf3IMmrMJfOb1/qp4W8ofdi/OtICqT48v75QIRc=,my library,Local playlist more,local-library,1,250671,465,蔡依林 (Jolin Tsai),Yu Hao Zhan,Wen Shan Fang,3.0,1,0,nan,7,2,1072,2014,10,26,2017,10,2006.0,1,1,0,0,0,0,0,0,447,49055
m7DA9O2hyK+rlav+oFyQOFQdgat/XlDNeCKvRftt34I=,SyXIWhyOSe9IC/8bERVM7xVNWpC9CpRse1NDzAB0arg=,discover,Discover Feature,song-based-playlist,0,231758,465,蕭亞軒 (Elva Hsiao),Rao Shan Qiang,Yao Ruo Long,3.0,1,0,nan,4,15,483,2016,2,18,2017,6,2011.0,1,1,0,0,0,0,0,1,634,17454
YLhkny8+4QIpHoKmnAWHyJycmUZ8XDZICScJ4nC0gY0=,CM0QypROj9i7iAqfWpDLxXHojbY/e3nw6WUZefGVS2c=,discover,Online playlist more,online-playlist,0,247118,465,LOLLIPOP @F 棒棒堂,no_composer,no_lyricist,3.0,1,0,nan,7,6,1245,2014,5,10,2017,10,2011.0,0,0,0,0,0,0,0,0,229,648
IrmP4EpRLaX6kI/DBSMqdsN9TFJU7ofGqaQq9cpMWMw=,czaF5y1r4IaD2wcVX+UxHrj9cuxzG6IEzIgSvSG0O+0=,my library,Local playlist more,local-playlist,1,238236,465,Ailee,no_composer,no_lyricist,31.0,13,26,male,9,14,826,2015,11,11,2018,2,2014.0,0,0,0,0,0,0,0,1,66,5573
ZhXBwuyysqsFXJLJEVA28Fwa9NAJkEJWmUTbvV5lFNM=,tnwNA8+zrLGHIXtjIeoHfrA0KsKu4l6Dnj7s1jRxxKc=,my library,Local playlist more,local-library,1,187480,465,吳映潔 (Emma Wu),Alice Li| Secret Weapon (Yong Hoon Jo),Li Yi Xuan,3.0,15,18,male,3,4,766,2015,8,30,2017,10,2016.0,1,2,0,0,0,0,0,1,128,1531
s6btm0LbQW0KgVkm5d7zpl5FN9/q5XBuIcPZoVKSHNw=,8G9VPrhCRlIAl+rmVYEEInqE4JpaJ/JqEnM6eR1a++s=,search,Album more,album,1,170448,726,圈圈兒童 (Hoop Kids),no_composer,no_lyricist,3.0,1,0,nan,7,8,2385,2010,12,27,2017,7,0.0,0,0,0,0,0,0,0,1,7,641
yxlnglz+x2jb2NoLjEWdSv5RUxAKXLiE+3A65z5LSsE=,ObxYKLbT7yESbDg+7xG6TPohA02oXG+w7q0cQCCLUuI=,my library,Local playlist more,local-playlist,0,371705,1259,宋岳庭,宋岳庭,宋岳庭,3.0,9,32,male,3,30,672,2015,11,28,2017,9,2003.0,1,1,0,0,1,1,0,0,345,722
hPXUy/5a5Hza2F8EDPyDMWYXGcoeuMsZXjtefLgcsdo=,p0vznXPDpqFXtJzcvx4f9NxqLDC+1PQ9/Prr8kUdSuc=,discover,Discover Chart,online-playlist,1,161149,1609,The Chainsmokers,Andrew Taggart| Shaun Frank| Frederic Kennett| Ashley Frangipane| Isaac Slade| Joseph King,Andrew Taggart| Shaun Frank| Frederic Kennett| Ashley Frangipane| Isaac Slade| Joseph King,52.0,13,34,male,7,20,2388,2011,3,8,2017,9,2016.0,6,6,0,0,0,0,0,1,2569,44215
JFSun63WqJGyyOD7J3WdAklHY/zszV7XYF0HAFqKmuc=,r4lUPUkz3tAgIWaEyrSYVCxX1yz8PnlVuQz+To0Pd+c=,discover,Online playlist more,online-playlist,0,249984,458,丁噹 (Della),張簡君偉,葛大為\張簡君偉,3.0,5,27,female,9,11,2136,2011,11,6,2017,9,2016.0,2,1,0,0,0,0,0,0,7029,45762
vqbsN4+N6sJi3VhQnuU7vYQr/EgGNB5YYikQumJSpnc=,9wTXXTrfRp4ubdCUhR8n2I3zGJu5moGVAOI802RQr+0=,discover,Online playlist more,song-based-playlist,0,297168,458,陳粒 (Chen Li),陳粒,涂玲子,3.0,22,25,male,7,16,1614,2013,4,16,2017,9,2016.0,1,1,0,0,0,0,0,0,106,1428
w1ubS5+2l82nGZbbaJRSmZQM9CRw+NDy2HWbtTqergg=,bt8AsuDEQaRMT/Gx3CkP1nytWqht50aSkW8NMvxyKRI=,discover,Online playlist more,online-playlist,1,219289,465,Rihanna,J. Braithwaite| M. Samuels| Allen Ritter| R.Thomas| Aubrey Graham| R Fenty| M. Moir,no_lyricist,52.0,5,33,male,9,30,4705,2004,11,12,2017,9,2016.0,0,7,0,0,0,0,0,1,454,13939
NwX1NaVlyw0jvfQNxLTcx9ztIUKVL/sjkccdAmMpfCA=,8GqnAW+YPQsSDr+2IGhCAKYwXJoSpOxHa0QsJ9auF1s=,discover,Discover Feature,online-playlist,0,196075,465,Justice Crew,Will Simms| John Reid| Rabih Jaber| Nermin Harambasic| Ozzy Jaquesson Sowe,Will Simms| John Reid| Rabih Jaber| Nermin Harambasic| Ozzy Jaquesson Sowe,52.0,1,30,female,4,23,93,2016,11,22,2017,2,2016.0,5,5,0,0,0,0,0,1,19,167
cmyC388MMuFwGiDZo2ajaYK80JU0bgKRbsaeKkNnC4c=,dCgTdGvotkaGppshPwF0NBybCuiBh9UWoQeAOtvquXw=,my library,Local playlist more,local-library,1,222981,458,周湯豪 (NICKTHEREAL),周湯豪,周湯豪\崔惟楷,3.0,1,17,female,3,8,720,2015,9,19,2017,9,2016.0,2,1,0,0,0,0,0,1,1694,34614
GqW8FoTDp84V0cayFSE7aUCN1nLWjgQ6ziEj/fvoi+w=,WKWRvUQ7OJsNZApaKawfTnigzRUFRiIWEaLZof/XLSs=,my library,Local playlist more,local-library,1,255346,465,王傑 (Dave Wang),Wang Wen Qing,Wang Wen Qing,3.0,1,0,nan,7,15,669,2015,11,16,2017,9,1987.0,1,1,0,0,0,0,0,0,605,4724
